번호,구분,문제내용,보기1,보기2,보기3,보기4,정답,해설
164,객관식퀴즈,중기재정계획제도에 대한 설명 중 옳은 것은?,기간을 구체적으로 규정하고 있다.,예산 수립시 중기재정계획은 의무 사항이다.,국회의 의결을 필요로 한다.,예산편성에 대하여 구속력은 없다.,4번,"중기재정계획(Mid-term Expenditure Plan, MTEP)은 단년도 예산편성 방식의 문제점을 극복하고 중장기적 관점에서 사업의 투자 우선순위 및 시기를 검토함으로써 재원배분의 일관성ㆍ효율성ㆍ건전성 등을 제고하기 위한 제도이다. 그러나 중기재정계획 수립 목적은 재정의 효율화와 건전화에 있고, 계획기간은 ‘수년간’이라 하여 포괄적으로 규정하고 있으며 계획수립을 ‘가용재원의 예측이 필요한 경우’라는 조건으로 규정함으로써 중기재정계획이 의무적 사항이 아님을 명시하고 있다. 중기재정계획이 예산편성 시 주요 투자사업의 우선순위를 결정하는 데 기초가 될 수 있으나 국회의결을 필요로 하지 않으며, 따라서 예산편성에 대하여 구속력도 없음을 의미한다."
165,객관식퀴즈,다음 중 적자성 국가채무로 보기 힘든 것은?,국민 임대주택 건설을 지원하기 위해 채권을 발행하는 경우,공적자금이 국채로 전환될 경우,중앙정부가 지방정부에 채무가 있을 경우,경기침체로 재정수입이 좋지 않은 상황에서 적자보전용 국채를 발행하는 경우,1번,"국가채무는 성격에 따라 융자금 회수, 자산 매각 등으로 자체상환이 가능한 ‘금융성 채무’와 조세 등 국민부담으로 상환해야 할 ‘적자성 채무’로 나뉜다. 금융성 채무는 외환시장 안정을 위해 외화자산을 매입할 목적으로 외국환평형기금 채권을 발행하거나 국민 임대주택 건설, 근로자ㆍ서민 주택구입 등을 지원하기 위해 채권을 발행하는 경우 이에 해당되며, 채무와 동시에 자산이 생성되기 때문에 자체상환이 가능하다. 반면 적자성 채무는 경기침체로 재정수입이 좋지 않은 상황에서 적자보전용 국채를 발행하거나, 공적자금이 국채로 전환될 경우, 중앙정부가 지방정부에 채무가 있을 경우 적자성 채무로 잡힌다."
166,객관식퀴즈,도심 내 쇠퇴한 주거지역이나 역세권을 주거 및 상업·문화 등 복합지역으로 개발하기 위한 제도를 무엇이라 하는가?,입지규제최소지구,도시재생사업,가로주택정비사업,혁신도시,1번,"입지규제최소지구는 도심 내 쇠퇴한 주거지역이나 역세권을 주거 및 상업·문화 등 복합지역으로 개발하기 위한 제도이다. 입지규제최소지구로 지정되면 기존의 획일적인 입지규제에서 벗어나, 지역의 특성과 수요를 고려하여 건축물의 용도, 건폐율, 용적률 등이 유연하게 적용된다. 따라서 터미널 등 도시 내 주요 거점시설 주변지역의 용도와 밀도를 완화하여 융·복합적 토지이용을 촉진시키고, 기존 주거지역에 해당 지역의 역사나 문화 자산이 연계된 관광이나 문화, 상업 기능의 도입이 가능해진다. 싱가폴의 마리나베이, 동경의 도시재생특구(오오테마치) 등은 민간자본을 통한 융·복합 개발을 촉진하고 지역경제를 활성화한 대표적인 사례이다"
167,객관식퀴즈,실용신안에 대한 설명으로 적절하지 않은 것은?,"특허권의 존속기간이 10년인데 반해, 실용신안권은 설정등록 후 출원일로부터 20년으로 되어 있다.",자국의 국내산업 보호라는 산업정책적 목적에서 탄생한 제도이다.,"특허는 물건의 발명과 방법의 발명이 모두 가능하지만, 실용신안은 반드시 물건의 발명에 한정된다는 점이 다르다.",소발명(小發明)인 ‘고안’을 보호하기 위한 목적으로 마련된 제도이다.,1번,"실용신안제도는 특허법상 보호대상인 ‘발명’이라는 고도의 기술에 가려서 사장되기 쉬운 실용적 기술사상(小發明)인 ‘고안’을 보호하기 위해 마련된 제도이다. 자국의 국내산업 보호라는 산업정책적 목적에서 탄생한 제도라고 볼 수 있다. 실용신안의 보호 대상은 물품의 형상ㆍ구조ㆍ조합에 관한 ‘고안’이다. 여기서 ‘고안’이라 함은 자연법칙을 이용한 기술적 사상의 창작을 의미한다. 실용신안은 고안이나 유용성 있는 기술을 대상으로 하고 있다는 점에서 특허와 유사하지만, 특허는 물건의 발명과 방법의 발명이 모두 가능하지만, 실용신안은 반드시 물건의 발명에 한정된다는 점이 다르다. 또한 특허권의 존속기간은 설정등록 후 출원일로부터 20년, 실용신안권의 그것은 설정등록 후 출원일로부터 10년으로 되어 있어 실용신안권의 존속기간이 짧다. 특허가 발명을 보호대상으로 한 반면 실용신안은 고안을 보호대상으로 하는 것이다."
168,객관식퀴즈,다음 빈칸에 들어가기에 가장 적절한 용어는? 법률적으로 담보물권은 피담보채권의 존재를 선행조건으로 하여 그 권리와 운명을 같이하는데 이를 (     )이라 한다.,부종성(附從性),불가분성(不可分性),물상대위성(物上代位性),수반성(隨伴性),1번,법률적으로 담보물권은 피담보채권의 존재를 선행조건으로 하여 그 권리와 운명을 같이하는데 이를 '부종성'이라 한다. 담보물권의 공통되는 성질 중 하나다.
169,객관식퀴즈,직업용품이나 전시 물품 등을 일시적으로 수출입하고자 할 경우 관세 등을 면제하는 제도를 일컽는 용어는?,까르네 협정,스냅백(Snap Back),아포스티유(Apostille),베른 협약,1번,까르네 협정은 직업용품이나 전시(회)물품 등을 일시 수출입하고자 할 경우 관세 등을 면제하는 제도이다. 그리고 이 협약의 이름을 따서 CARNET(까르네)통관이라 한다. 물품이나 견본을 국가 간 이동시킬 경우 가입국 간에는 간단한 서류로 통관절차를 보다 간편하게 하기 위한 협약이다. 까르네는 세관검사 시 제출하는 무관세 통행증을 뜻한다.
170,객관식퀴즈,정부 재정 운영 재원 중 '기금'의 특징으로 옳지 않은 것은?,예산과 달리 국회의 심의 의결 사항이 아니다.,출연금이나 부담금 등을 주요재원으로 한다.,상대적으로 자율성과 탄력성이 강한 편이다.,일반적 재정활동이 아닌 주로 국가의 특정목적사업을 위해 사용한다.,1번,"기금은 국가의 특수한 정책목적을 실현하기 위하여 예산원칙의 일반적인 제약으로부터 벗어나 좀 더 탄력적으로 운용할 수 있도록 세입ㆍ세출예산에 의하지 않고 특정사업을 수행하는데 필요한 재원이라고 할 수 있다. 국가고유의 일반적 재정활동에 초점을 둔 예산과 달리 기금은 국가의 특정목적사업을 위해 사용하며 출연금ㆍ부담금 등을 주요재원으로 한다. 특정수입과 지출의 연계가 강하며, 합목적성 차원에서 상대적으로 자율성과 탄력성이 강하다는 점 등에서 예산과 차이가 있다. 그러나 기금도 국가재정운영의 일부분으로 국회의 심의ㆍ의결을 거쳐 기금설치와 운영 계획 수립, 결산 등이 이루어진다는 점에서 예산과 동일하다."
171,객관식퀴즈,정부가 비용을 부담해 자국 국민을 유엔 등 국제기구에 1~2년간 파견시켜 국제적 역량과 경험을 갖춘 전문 인력으로 양성하는 제도를 무엇이라 하는가?,JPO(Junior Professional Officer),ODA(Official Development Assistance),UNV(United Nations Volunteers),Matching Grant,1번,"JPO(Junior Professional Officer, 국제기구초급전문가)란 정부가 비용을 부담해 자국 국민을 유엔 등 국제기구에 1~2년간 파견, 국제적 역량과 경험을 갖춘 전문 인력으로 양성하는 제도이다."
172,객관식퀴즈,한국 HS코드(국제통일상품분류체계)의 특징으로 옳지 않은 것은?,앞에서 7자리까지의 숫자는 모든 나라의 분류 방식이 동일하다.,앞의 1~2자리는 상품의 군별 분류를 나타낸다.,3~4자리는 소분류로 동일류 내 품목의 종류별·가공도별 분류를 나타낸다.,우리나라는 10자리를 사용한다.,1번,"HS코드는 국제통일상품분류체계에 따라 대외 무역거래 상품을 총괄적으로 분류한 품목분류 코드. 관세나 무역통계, 운송, 보험 등 다양한 목적에 사용된다. 국제협약에 따라 HS코드는 10자리까지 사용할 수 있다. 6자리까지는 국제 공통으로 사용하는 코드로서 앞의 1~2자리는 상품의 군별 구분, 3~4자리는 소분류로 동일류 내 품목의 종류별·가공도별 분류, 5~6자리는 세분류 동일호 내 품목의 용도·기능 등에 따른 분류다. 7자리부터는 각 나라에서 세분화해 부여하며 우리나라는 10자리를 사용한다."
173,OX퀴즈,의료비의 포괄수가제가 폐지되면 불필요하고 과다한 진료행위를 막고 환자의 진료비 부담을 덜 수 있다.,,,,,2번(X),"포괄수가제는 전국 어느 병원에 가더라도 사전에 책정된 동일 진료비를 내도록 하는 일종의 의료비 정찰제이다. 대상 질환은 백내장, 편도, 맹장, 탈장, 항문, 자궁, 제왕절개 등 7개다. 포괄수가제는 불필요하고 과다한 진료행위를 막고 환자의 진료비 부담을 덜어주는 장점이 있다."
174,OX퀴즈,"단일가 매매는 종가나 종가무렵 매매 후, 다음날 오전 중에 이익을 실현하는 매매법을 말한다.",,,,,2번(X),"종가 매매는 종가나 종가 무렵 매매 후, 다음날 오전 중에 이익을 실현하는 매매법을 말한다. 반면, 단일가 매매는 투자자 주문을 일정 시간 동안 모아 일시에 하나의 가격으로 체결하는 방식이다. 그중 시간 외 단일가매매는 투자자에게 추가적인 매매 거래 기회를 제공하기 위하여 장 종료 후 일정 시간 동안 10분 단위 단일가매매를 통하여 당일종가 ±10% 이내(다만, 당일 상하한가 이내)의 가격으로 매매 거래를 성립시키는 제도를 말한다."
175,OX퀴즈,명도소송이란 경매를 통해 부동산을 낙찰받고 대금을 지급한 후 3개월이 지났음에도 인도명령 대상자 등이 부동산의 인도를 거절할 때 매수인이 제기하는 소송이다.,,,,,2번(X),명도소송은 경매를 통해 부동산을 낙찰받고 대금을 지급한 후 6개월이 지났음에도 인도명령 대상자 등이 부동산의 인도를 거절할 때 매수인이 관할법원에 부동산을 명도(건물을 비워 넘겨줌)해달라고 제기하는 소송이다. 승소 판결을 받게 되면 강제로 점유자를 내보낼 수 있다.
176,OX퀴즈,유럽연합(EU)이 해외 고급 인력을 유치하기 위해 EU 내 진입 절차를 간소화하는 제도를 'EU 그린카드 제도'라고 한다.,,,,,2번(X),"EU 블루카드 제도는 유럽연합(EU)이 해외 고급 인력을 유치하기 위해 지난 2007년부터 도입한 제도이다. 우수한 외국인 인력의 EU 내 진입 절차를 간소화하는 것을 골자로 한다. 블루카드를 가진 EU 역내 외국인 취업자는 고국의 가족을 초청할 수 있고, 카드를 발급받은 지 18개월이 경과하면 다른 EU 회원국에서도 자유롭게 일자리를 얻을 수 있다. EU가 블루카드 제도를 도입한 것은 대졸 이상 학력의 외국인 고급 인력을 EU 역내로 유치하기 위함이다. 다만, EU는 블루카드를 신청할 수 있는 자격을 제한해 카드 신청국 내 평균 급여보다 일정 수준 이상의 급여를 받는 고급 인력에 국한하도록 했다."
177,OX퀴즈,톱다운(Top Down)제도는 재정당국이 정해준 예산한도 내에서 부처별로 자유롭게 예산을 편성할 수 있도록 하여 부처의 자율성을 높이는 예산편성제도를 말한다.,,,,,1번(O),"톱다운(Top Down)제도 = 사전자원배분제도. 재정당국이 정해준 예산한도 내에서 부처별로 자유롭게 예산을 편성할 수 있도록 하여 부처의 자율성을 높이는 예산편성제도로, 총액배분 자율편성 제도라고도 불린다. 재정당국이 국가의 전략적 목표와 우선순위에 따라 5개년 국가 재정운용 계획을 수립하고 이를 바탕으로 주요 분야별 및 부처별 지출한도를 먼저 설정하고, 개별부처는 그 한도 내에서 개별사업에 대한 예산을 배정하는 방식이다. 장점으로는 재정당국과 각 부처의 역할분담으로 재원배분의 효율성ㆍ투명성ㆍ자율성을 제고할 수 있다는 점, 부처별 지출한도가 사전 제시됨에 따라 각 부처의 전문성을 적극 활용하여 사업별 예산규모를 결정할 수 있어 각 부처의 책임과 권한을 강화할 수 있다는 점 등이 있다. 우리나라는 2005년도 예산편성부터 ‘예산 총액배분ㆍ자율편성 방식’을 도입하였다."
178,OX퀴즈,심신이 박약하거나 재산의 낭비로 자기나 가족의 생활을 궁박하게 할 염려가 있는 경우에는 금치산 선고의 요건이 된다.,,,,,2번(X),"한정치산자를 의미한다. 한정치산자는 심신이 박약하거나 재산의 낭비로 자기나 가족의 생활을 궁박하게 할 염려가 있는 사람에 대해 본인, 배우자, 4촌 이내의 친족, 후견인 또는 검사의 청구로 한정치산의 선고를 받은 자를 말한다. 중요한 재산에 관한 거래 행위를 대신하는 경우에는 그의 동의를 얻어야 한다. 반면, 금치산자는 법원에서 심신상실의 이유로 자기가 한 행위의 결과를 합리적으로 판단하는 능력이 없는 사람에게 금치산 선고를 하는데, 이 금치산 선고를 받은 사람을 금치산자라고 한다. 금치산이란 자신의 재산 관리 및 처분을 금지하는 일을 뜻하며 중한 정신병을 앓는 사람이 금치산자의 대표적인 예에 해당된다."
179,OX퀴즈,농지연금은 장래 이용하거나 개발할 수 있는 다양한 토지를 미리 확보해 공익목적에 적기 활용할 수 있도록 하는 제도이다.,,,,,2번(X),"토지은행을 의미한다. 토지은행은 장래 이용하거나 개발할 수 있는 다양한 토지를 미리 확보해 공익목적에 적기 활용할 수 있도록 하는 정책수단이다. 공공개발용지를 원활하고 저렴하게 공급하고 토지수급을 통해 토지시장의 안정을 기하기 위해 마련됐다. LH공사에 설치ㆍ운영하게 되는데, 정부의 통제ㆍ감독이 가능하도록 토공회계와 분리된 별도의 독립계정으로 운영된다."
180,OX퀴즈,‘특별회계예산’이란 새로운 회계연도가 개시될 때까지 예산이 성립되지 못할 경우 정부가 국회에서 예산안이 의결 확정될 때까지 전년도 예산에 준하여 집행할 수 있도록 예산을 집행하는 것을 말한다.,,,,,2번(X),"준예산에 대한 설명이다. 준예산이란 새로운 회계연도가 개시될 때까지 예산이 성립되지 못할 경우 정부는 국회에서 예산안이 의결ㆍ확정될 때까지 헌법ㆍ법률에 의해 설치된 기관ㆍ시설의 유지ㆍ운영과 법률상 지출 의무의 이행, 그리고 이미 예산으로 승인된 사업을 계속하기 위한 경비를 전년도 예산에 준하여 집행할 수 있도록 한 것을 말한다. 대부분의 국가에서 이와 같이 예산 성립이 늦어질 경우 이를 보완할 수 있는 제도를 갖추고 있다.  참고로 특별회계는 사업적 성격이 농후하거나 일반회계와 분리하는 것이 능률적일 것으로 판단되는 것으로서 세입은 주로 자체수입, 일반회계로부터의 전입금 등으로 구성된다. 일반회계는 정부 사업 가운데 국민의 기본 욕구를 충족시키기 위한 것으로 그 세입을 주로 조세 수입으로 충당한다."
181,OX퀴즈,상속세와 증여세 부과시 부동산과 같은 재산의 평가는 상속 또는 증여 시기의 '기준시가'를 원칙적으로 적용한다.,,,,,2번(X),상속세와 증여세 부과시 상속 또는 증여된 재산은 상속 개시일 또는 증여 당시의 ‘시가’로 평가함이 원칙이다. 다만 상속 또는 증여 당시의 시세가 불분명한 경우에는 보충적으로 ‘기준시가’가 적용된다.
182,OX퀴즈,아포스티유란 협약에 따라 문서의 관인이나 서명을 대조하여 진위를 확인하고 발급하는 것을 가리킨다.,,,,,1번(O),"협약에 따라 문서의 관인이나 서명을 대조하여 진위를 확인하고 발급하는 것을 가리켜 아포스티유라고 한다. 외국에서 발행한 문서를 인정받기 위해, 문서의 국외사용을 위해 확인을 받는 것을 아포스티유 확인이라 한다. 아포스티유가 부착된 공문서는 아포스티유 협약가입국에서 공문서로서의 효력을 갖게 된다."
183,객관식퀴즈,통상적인 수준을 벗어난 급격한 물가인상을 의미하는 것은?,리디노미네이션,하이퍼인플레이션,이노베이션,디플레이션,2번,"하이퍼인플레이션을 말한다. 하이퍼인플레이션은 화폐 가치의 급격한 하락으로 경제에 혼란이 발생하고 실물경제에도 악영향을 미치기도 한다. 리디노미네이션이란 한 나라에서 통용되는 화폐의 액면가를 낮은 숫자로 변경하는 조치. 즉, 화폐단위를 하향 조정하는 것을 말한다. 이노베이션은 경제에 새로운 방법이 도입되어 획기적인 새로운 국면이 나타나는 현상을 의미한다. 디플레이션은 상품들의 가격수준이 전반적으로 그리고 지속적으로 하락하는 현상을 의미한다."
184,객관식퀴즈,근원인플레이션에 대한 설명 중 옳은 것은?,"소비자물가상승률에서 농산물 가격, 국제원자재가격등의 변동분을 포함한다.",근원 인플레이션은 대체로 소비자물가보다 높은 패턴을 보이지만 장기적으로 두 지수가 비슷한 수준으로 수렴하기도 한다.,"물가에 미치는 단기적, 불규칙적 충격이 제외되어 기조적인 물가상승 흐름을 포착할 수 있다.",우리나라에서는 소비자물가지수에서 석유류를 포함한 지수를 근원인플레이션 지수로 사용한다.,3번,"근원인플레이션은 기초경제여건에 의하여 결정되는 물가상승률을 의미하며 대부분의 경우 소비자물가상승률에서 농산물 가격, 국제원자재가격 등의 변동분을 제거하여 계산한다. 근원인플레이션율은 물가에 미치는 단기적, 불규칙적 충격이 제외되어 기조적인 물가상승 흐름을 포착할 수 있다는 장점이 있다. 근원인플레이션은 대체로 소비자물가보다 낮은 패턴을 보이지만 장기적으로 두 지수가 비슷한 수준으로 수렴하기도 한다. 우리나라의 경우 2000년 이후 근원 인플레이션을 중앙은행 물가안정목표제도의 대상지표로 사용 중이며, 소비자물가에서 곡물 이외의 농산물과 석유류의 가격 변동분을 제외한 근원 인플레이션을 측정하여 통계청에서 소비자물가와 더불어 매달 발표하고 있다."
185,객관식퀴즈,북미자유무역협정(NAFTA) 발효 이후 멕시코 소재 자회사에서 자동차 부품을 수입해 특혜관세를 적용받았던 포드사가 미국 세관이 요구한 원산지 증명서류를 구비하지 못해 4100만달러에 이르는 벌금을 낸 사례가 있다. 이를 설명하는 것은?,베블런 효과(Veblen Effect),밸리효과(Valley Effect),낙수효과(Trickle-down Effect),스파게티볼 효과 (Spaghetti Bowl Effect),4번,"스파게티볼 효과란 여러 나라와 동시에 자유무역협정(FTA)을 체결하면 각 나라마다 다른 원산지 규정 적용, 통관절차, 표준 등을 확인하는데 시간과 인력이 더 들어 거래비용 절감이라는 애초 기대효과가 반감되는 현상이다. 대상국별 혹은 지역별로 다른 규정이 적용돼 서로 얽히고설키는 부작용이 발생하게 되는데, 이 같은 현상이 마치 스파게티 접시 속 국수 가닥과 닮았다는 뜻으로 사용했다. 대표적으로 북미자유무역협정(NAFTA) 발효 이후 멕시코 소재 자회사에서 자동차 부품을 수입해 특혜관세를 적용받았던 포드사가 미국 세관이 요구한 원산지 증명 서류를 구비하지 못해 4100만 달러에 이르는 벌금을 낸 사례가 있다. 한국은 2009년 8월 7일 인도와 사실상 자유무역협정(FTA)과 동일한 성격의 포괄적 경제동반자협정(CEPA)에 정식 서명함에 따라 총 7개 경제권과 FTA를 발효 또는 협상을 타결한 국가가 됐다. 이에 따라 우리나라도 스파게티볼 효과에 대한 우려가 나오고 있다."
186,객관식퀴즈,표시통화만 다르고 위험과 만기가 동일한 금융상품간의 금리차이는 두 통화 간 환율의 기대변동률과 같다는 이론은?,승수효과,국제피셔효과,기저효과,백로효과,2번,"국제피셔효과는 금리와 환율의 상관관계에 대한 이론으로, 두 나라의 금리 차이는 두 나라 통화의 환율변동 폭과 같다는 이론이다. 즉, 표시통화만 다르고 위험과 만기가 동일한 금융상품 간의 금리 차이는 두 통화 간 환율의 기대변동률과 같다는 것이다. 국제자본이동에 대한 통제가 없다면 위험 중립형 투자자들은 기대수익이 가장 큰 곳에 자금을 운용할 것이다. 두 나라 간 이자율이 동일하지 않다면 투자자들은 이자율이 높은 국가로 자금을 이동할 것이므로 결국 전 세계적으로 실질수익률이 동일하게 되고, 각국의 명목금리 격차는 단지 각국의 인플레이션 예상치의 차이에 불과하게 된다. 예를 들어, 일정 시점에서 한국 금리가 미국 금리보다 5% 높아진다면 원화는 미국 달러화에 대해 5% 절하되며, 현재 환율이 달러당 1,200원이라면 향후 1,260원으로 원화가 5% 떨어지게 된다."
187,OX퀴즈,근원 인플레이션은 핵심물가지수상승률이라고도 불린다.,,,,,1번(O),"근원 인플레이션이란 기초경제여건에 의하여 결정되는 물가상승률을 의미하며 대부분의 경우 소비자물가상승률에서 농산물 가격, 국제원자재가격 등의 변동분을 제거하여 계산한다. 근원인플레이션율은 물가에 미치는 단기적, 불규칙적 충격이 제외되어 기조적인 물가상승 흐름을 포착할 수 있다는 장점이 있다. 반면 일반국민들의 체감물가와 괴리될 위험성이 있다. 우리나라의 경우 소비자물가지수에서 곡물을 제외한 농산물과 석유류를 제외한 지수를 근원 인플레이션 지수로 사용하고 있다. 석유파동ㆍ이상기후ㆍ제도변화 등 일반적으로 예상치 못한 일시적 외부충격에 의한 물가변동분을 제거한 후 산출되는 물가상승률로서 핵심물가지수상승률이라고도 한다."
188,OX퀴즈,경기선행지수(CLI)는 각종 경기 관련 지표의 흐름을 복합적으로 따져 3개월 후의 경기흐름을 가늠한다.,,,,,2번(X),"경기선행지수(Composite leading indicator, CLI)는 장래의 경기동향을 측정하는 지표로 산업활동과 주택동향, 금융통화 현황 등 각종 경기 관련 지표의 흐름을 복합적으로 따져 6개월 후의 경기흐름을 가늠한다. 이 경기선행지수가 전월보다 올라가면 경기상승, 내려가면 경기하강을 의미한다. 한국은행이나 민간경제연구소들은 더 많은 요소들을 집어 넣어 자체 경제 전망 모형을 운용하기도 한다."
189,OX퀴즈,유동성 함정(Liquidity Trap)이란 금리가 매우 낮아 통화공급의 증가가 지출증가로 연결되지 않고 사람들의 화폐보유만 늘어나는 상태를 말한다.,,,,,1번(O),"유동성 함정이란 금리가 매우 낮아 통화공급의 증가가 지출증가로 연결되지 않고 사람들의 화폐보유만 늘어나는 상태를 말한다. 미국에서 1930년대 대공황 때 돈을 풀어도 경기가 살아나지 않는 현상을 보고, 영국의 경제학자 존 케인스가 처음 사용한 용어이다. 일반적으로 중앙은행의 정책금리가 낮아져 시중금리 하락으로 이어지면 기업은 싼 이자로 자금을 빌릴 수 있다. 그러면 사람들은 저축을 더 하기보다는 소비를 늘리게 된다. 그 결과 투자와 생산이 늘어나고 고용이 늘면서 소득도 늘어 소비가 증가한다. 이것이 다시 생산과 투자를 부추기면 경기가 상승하게 된다. 그런데 금리가 더 이상 낮아지기 어려운 수준까지 떨어지면 사람들은 현재 바닥인 금리가 언젠가는 다시 올라갈 것이라는 기대감에서 돈을 빌려 투자를 하거나 소비를 하기보다는 현금으로 보유하려는 성향이 강해진다. 중앙은행이 금리를 내려 경기가 살아나야 정상인데 금융당국이 이자율을 아무리 내려도 기업들의 투자로 연결되지 않아 경기부양 효과가 나타나지 않는다. 이렇게 유동성 함정에 갇히게 되면 통화정책의 효과는 시장에서 나타나지 않게 되고 상대적으로 재정정책이 더 효과적인 수단이 될 수 있다."
190,OX퀴즈,소비자심리지수가 100보다 클 경우 과거 평균적인 경기상황보다 좋지 않음을 나타낸다.,,,,,2번(X),"소비자심리지수는 소비자들의 경제에 대한 전반적 인식을 종합적으로 파악할 수 있는 지표이다. 소비자심리지수가 100보다 클 경우 과거 평균적인 경기 상황보다 좋음을, 100보다 작을 경우 과거 평균적인 경기 상황보다 좋지 않음을 나타낸다. 소비자심리지수는 소비자 태도를 종합적으로 판단할 수 있게 해 준다. 특히, 기준치 100을 중심으로 대칭적인 움직임을 보임으로써 부정적인 응답에 의한 경기판단 오류를 피하고 경기 수준에 대한 균형적인 판단을 할 수 있게 해준다."
191,OX퀴즈,실업률은 (실업자/비경제활동인구) x 100으로 구할 수 있다.,,,,,2번(X),"실업률은 실업자가 경제활동인구에서 차지하는 비율이다. 즉, 비경제활동인구가 아닌 경제활동인구를 통해 구할 수 있다."
192,OX퀴즈,고용탄력성은 경제성장에 따른 고용흡수 능력을 나타내며 ‘취업자 증가율／실질 국내총생산(GDP) 증가율’로 산출한다.,,,,,1번(O),"고용탄력성은 경제성장에 따른 고용흡수 능력을 나타내며 ‘취업자 증가율／실질 국내총생산(GDP) 증가율’로 산출한다. 즉, 한 경제가 1% 성장했을 때에 고용이 몇 퍼센트(%) 변화하였는가를 나타낸 지표이다. 고용탄력성이 높을수록 1% 경제성장에 대해 취업자 수가 많이 늘어난 것을 의미한다."
193,OX퀴즈,무역의존도는 (수출액+수입액) / 국민소득(또는 GDP)로 구한다.,,,,,1번(O),무역의존도는 한 나라의 경제가 무역(수출입)에 의존하고 있는 정도를 측정하는 지표이다. 이는 ‘무역 성향’이라고도 한다. 무역의존도는 일정한 기간(보통 1년) 한 나라의 국민소득(또는 국내총생산)에 대한 무역액(수출액+수입액)의 비율로써 계산한다.
194,OX퀴즈,소비자물가 상승률과 실업률을 합한 다음 실질 경제성장률을 뺀 수치를 나타내는 것은 경제불쾌지수이다.,,,,,1번(O),경제불쾌지수란 한 나라의 경제에 대한 국민들의 불만 정도를 나타내는 지수. 소비자물가 상승률과 실업률을 합한 다음 실질 경제성장률을 뺀 수치다. 경제불쾌지수가 15를 넘으면 대부분의 국민이 경제적 불안을 느끼는 것으로 해석된다.
195,객관식퀴즈,기업 간 극단적인 경쟁에서 야기될 수 있는 위험 요소를 최소화하고 협력을 통해 윈윈하자는 비즈니스 전략을 의미하는 용어는?,트러스트,클러스트,콘체른,코피티션,4번,"코피티션은 cooperation(협동)과 competition(경쟁)의 합성어로 기업간 극단적인 경쟁에서부터 야기될 수 있는 위험요소들을 최소화하고, 자원의 공용화, 공동 R&D 등의 협력을 통해 서로 윈-윈하자는 비즈니스 성공전략이다. 주로 동일한 업종간의 경쟁은 승자와 패자가 존재하는 일종의 제로섬 게임인데 반해서 코피티션은 반드시 패자가 존재해야 한다는 논리를 부정하고 경쟁자들이 서로 협력하게 되면 모두가 승자가 되어 최대의 이익을 거둔다는 것으로 최근 이러한 사례가 급증하는 추세이다. 이 용어는 예일대학의 배리 네일버프 교수와 하버드대학의 아담 브랜던버거 교수에 의해 처음 사용된 경영학 용어지만 최근에는 다양한 분야에서 널리 통용되고 있다."
196,객관식퀴즈,새 CEO가 전임 CEO 재임기간에 누적됐던 손실이나 향후 잠재 부실요소를 회계장부에서 최대한 반영함으로써 실적 부진의 책임을 전임자에게 떠넘기는 것을 의미하는 용어는?,윈도 드레싱,쿠키 단지,복식부기,빅배스,4번,빅배스(Big Bath)는 새로 부임하는 기업의 CEO가 전임 CEO의 재임기간 동안에 누적된 손실을 회계장부상에서 최대한 반영함으로써 경영상의 과오를 전임 CEO에게 넘기는 행위. 새로 부임하는 CEO는 회계처리 과정에서 과거에 발생한 손실을 극대화해 잠재적인 부실까지 미리 반영한다. 그러나 이전 경영진의 성과를 보고 투자한 주주들은 이러한 회계처리로 인해 주가 하락에 따른 손실을 볼 수 있다.
197,객관식퀴즈,특정 산업에서 시장 집중 정도를 측정할 때 사용되는 지수는?,CBR지수,MF500지수,MSCI 선진지수,허쉬만 허핀달 지수,4번,"허쉬만-허핀달지수(Hirschman-Herfindahl Index, HHI)는 매출액이 가장 큰 기업에서 작은 기업 순으로 배열한 뒤 상위 50개 기업에 대한 각각의 시장점유율을 각각의 %로 구하고 이들 점유율의 제곱을 모두 합산한 것. HHI 값이 클수록 시장의 집중도는 높다. 미국 법무부와 연방준비제도이사회 등 합병인가 당국이 기업결합 심사 과정에서 합병에 따른 경쟁 제한 여부를 판단하는데 1차적으로 활용하는 지표다."
198,객관식퀴즈,한국 채택 국제회계기준(K-IFRS)에 따른 재무제표에 포함되지 않는 것은?,포괄손익계산서,재무상태표,자본변동표,이익잉여금처분계산서,4번,"재무제표는 기업의 경영활동을 일반적으로 인정된 회계원칙(GAAP)에 따라 간결하게 요약한 재무보고서로, 한국 채택 국제회계기준(K-IFRS)에 따라 재무상태표ㆍ포괄손익계산서ㆍ자본변동표ㆍ현금흐름표 등 4가지로 나눈다. 재무상태표는 일정 시점에서 자산ㆍ자본ㆍ부채 등 기업의 재무상태가 어떠한지 나타내는 표, 포괄손익계산서는 일정 기간 동안 기업 활동 과정에서 발생한 비용과 수익들을 기록해 두는 표, 현금흐름표는 일정 기간 동안 기업의 경영 활동으로 인해 발생한 현금흐름 상황을 나타내는 표, 자본변동표는 자본의 크기와 그 변동에 관한 정보를 제공하는 재무제표를 의미한다. 이익잉여금처분계산서는 이월이익잉여금의 수정사항과 당이이익잉여금의 처분사항을 명확하게 보고하기 위해 작성하는 재무제표로, 회계기준에 따른 재무제표에 포함되지는 않는다."
